gene	tSNE_x	tSNE_y	D02_MDDC_Ifnb.resp.tsv	D03_MDDC_Ifnb.resp.tsv	D11_MDDC_Ifnb.resp.tsv	Interagrated	D02_MDDC_Ctrl_0h	D02_MDDC_Ifnb_1h	D02_MDDC_Ifnb_2h	D02_MDDC_Ifnb_4h	D02_MDDC_Ifnb_6h	D02_MDDC_Ifnb_12h	D02_MDDC_Ifnb_24h	D03_MDDC_Ctrl_0h	D03_MDDC_Ifnb_1h	D03_MDDC_Ifnb_2h	D03_MDDC_Ifnb_4h	D03_MDDC_Ifnb_6h	D03_MDDC_Ifnb_12h	D03_MDDC_Ifnb_24h	D11_MDDC_Ctrl_0h	D11_MDDC_Ifnb_1h	D11_MDDC_Ifnb_2h	D11_MDDC_Ifnb_4h	D11_MDDC_Ifnb_6h	D11_MDDC_Ifnb_12h	D11_MDDC_Ifnb_24h
NDC80	16.1915323957	-3.92304353298	1	2	3	0	0.94	0.52	0.45	0.9	0.77	1.69	3.34	0.09	0.12	0.16	0.69	0.41	0.84	2.74	0.76	1.07	0.94	1.09	1.69	1.57	2.43
NDOR1	13.7725048441	-6.56433458791	2	2	3	0	3.54	5.38	3.63	2.82	2.11	4.64	5.39	3.75	4.01	2.76	1.35	2.8	5.77	8.64	4.11	5.64	4.75	3.23	2.89	5.97	7.48
NDST2	6.14325608515	2.77814776882	0	1	2	4	13.47	20.03	31.85	21.85	17.07	13.7	15.93	13.09	15.82	28.14	16.61	17.33	15.87	20.16	18.7	25.27	43.22	32.25	27.28	23.86	28.09
NDUFA9	12.2919694582	8.73295750319	4	5	2	5	45.27	54.26	70.98	97.85	116.23	74.15	73.53	40.83	46.78	58.03	91.27	134.87	91.78	69.87	20.22	24.25	27.87	41.9	55.96	43.05	39.93
NDUFC2-KCTD14	9.42055535802	3.85014828423	3	5	2	5	0.37	0.58	0.19	3.85	3.23	3.23	3.16	0.0	0.83	1.83	2.71	1.4	1.92	0.83	0.32	0.65	1.18	7.21	5.06	4.28	3.9
NEDD1	13.753891908	5.61466992723	4	4	2	5	10.48	11.49	10.38	19.31	22.02	21.26	23.57	10.95	12.02	11.03	15.93	21.37	20.44	24.49	16.62	17.51	13.51	26.13	28.51	24.58	27.28
NEK8	18.0847347075	-1.94199274777	5	2	3	1	0.3	0.52	0.38	0.47	0.53	1.09	1.08	0.35	0.23	0.31	0.53	0.46	1.23	3.2	0.48	0.81	0.64	0.66	0.8	2.16	2.35
NEURL3	15.3305018615	0.839404899866	5	2	3	1	0.0	0.25	0.22	0.88	1.13	2.3	2.68	0.0	0.26	1.21	0.6	1.46	2.37	3.71	0.0	0.53	0.76	0.83	0.55	1.48	1.54
NEXN	18.1761475851	3.03307633415	5	4	3	1	1.27	5.93	19.23	74.0	123.49	250.4	239.41	0.37	4.0	20.48	82.92	128.8	186.37	223.65	0.42	5.13	31.73	106.74	179.8	303.48	351.09
NFATC2IP	14.2021128993	3.94643664289	4	4	3	1	6.8	8.75	7.72	12.03	11.15	10.92	12.53	7.15	6.81	7.94	9.19	12.97	15.82	16.94	6.27	8.39	9.22	9.49	9.71	11.62	12.55
NFE2L3	18.2495395449	-1.40147436894	5	2	4	1	4.32	4.66	3.89	10.12	19.34	54.33	76.47	7.08	6.79	8.77	12.59	36.28	83.39	123.66	3.54	3.46	5.02	17.8	33.63	81.14	77.75
NFIL3	10.924243278	-8.02241213889	2	0	1	3	102.14	198.13	79.84	51.32	70.28	107.77	129.22	102.88	209.09	109.25	37.24	53.94	108.67	154.44	98.64	166.93	70.14	42.34	44.06	57.8	100.46
NFIX	18.6691235059	4.6304177908	5	4	4	1	1.78	1.9	1.39	8.29	18.37	22.32	18.77	1.47	1.47	1.24	6.44	16.88	21.66	25.65	2.28	2.46	1.55	10.07	27.44	32.49	27.79
NFKB1	12.5008482932	6.54127492539	3	4	2	5	24.07	23.38	20.57	36.16	30.06	32.43	32.32	19.89	18.9	17.22	26.41	33.73	40.75	39.48	31.85	29.19	33.26	68.23	47.01	55.63	44.65
NFKB2	14.4705542217	4.10442020943	5	4	2	1	8.84	10.96	11.3	17.47	12.99	18.32	20.1	9.18	9.66	9.92	12.98	18.41	27.82	31.13	10.34	13.5	18.57	34.43	30.09	35.97	24.02
NFKBIA	10.1262256317	-7.62783039931	2	4	1	3	103.14	269.36	197.36	183.01	178.39	155.54	130.68	94.92	258.75	185.82	139.1	147.18	176.49	142.56	124.99	315.64	243.3	233.71	177.75	159.41	122.8
NFKBID	7.69571786498	2.16020169856	0	5	2	4	4.96	3.77	19.46	12.34	10.08	5.38	4.64	3.92	3.76	9.27	6.59	11.17	6.15	4.17	5.12	4.84	16.47	13.75	8.75	5.46	5.05
NFKBIE	10.3363708241	7.90883495781	3	4	2	5	19.23	12.63	12.46	25.14	18.03	17.88	19.29	16.6	8.63	11.53	17.63	28.86	25.56	19.97	10.63	7.4	10.49	23.06	22.87	16.33	13.01
NFKBIZ	10.0058215885	-7.79018152814	2	0	1	3	4.16	38.86	23.71	16.59	10.31	5.8	4.95	3.93	33.96	20.65	9.98	7.08	5.9	5.68	6.02	56.64	34.31	19.72	11.56	9.17	9.37
NFYB	16.858544987	-2.2930518754	1	2	3	0	6.71	6.06	7.56	8.46	9.83	10.7	16.11	9.23	9.53	7.81	7.37	10.29	10.54	12.98	6.26	7.33	6.72	7.85	9.13	10.27	11.23
NHLRC3	18.1099280485	2.77859395959	5	4	3	1	46.25	53.54	49.11	57.67	66.96	74.14	83.79	44.11	46.24	53.31	52.69	70.12	96.01	91.4	39.22	37.85	37.36	48.73	51.73	74.9	77.52
NHSL1	18.6598705063	-1.76682323691	5	4	3	1	14.79	14.36	11.63	14.4	15.28	25.61	26.38	13.99	14.94	10.9	11.29	14.4	27.26	31.17	21.91	22.92	19.63	29.45	27.99	35.11	36.1
NINJ1	14.867953528	5.36403496323	4	4	2	1	123.77	144.04	164.93	251.63	267.39	282.46	318.56	109.0	123.56	142.28	227.23	325.83	386.04	426.78	131.65	153.69	206.85	407.84	410.03	393.41	296.0
NIPA2	9.1439415383	5.39390149902	3	5	2	5	52.54	58.97	70.28	108.37	85.22	59.03	58.79	56.74	63.32	83.51	94.98	96.64	77.12	74.28	52.7	62.91	69.04	89.37	83.76	62.48	60.79
NIPSNAP3A	12.7867204472	9.95867931496	4	5	4	1	34.22	37.62	46.35	55.64	68.73	56.81	47.84	33.18	39.29	49.81	66.37	69.52	61.8	42.54	20.59	20.52	21.13	30.29	35.53	34.02	31.94
NKAIN1	18.3108796688	-1.54436968199	5	2	3	1	0.0	0.0	0.0	0.06	0.4	1.3	1.64	0.0	0.0	0.0	0.0	0.25	0.96	1.56	0.0	0.0	0.06	0.08	0.42	3.47	3.5
NLRC5	12.2279188375	7.55545430699	3	4	2	5	2.29	4.63	8.28	31.04	27.62	18.24	14.34	1.69	3.14	5.14	17.0	29.81	23.19	20.16	2.91	4.41	8.76	33.63	33.26	28.81	23.19
NME1-NME2	16.0472940119	0.0769813984904	5	1	1	4	0.0	0.0	0.0	0.0	0.0	2.93	0.0	1.48	0.0	7.08	0.0	3.58	3.03	2.11	3.75	3.06	6.33	6.11	0.0	0.25	0.0
NME6	17.9883030886	-4.4905543795	1	2	3	0	13.1	14.74	13.57	9.87	14.0	15.72	20.98	15.74	15.13	11.4	9.21	15.35	19.31	26.65	15.02	20.73	14.56	13.31	15.0	24.7	32.86
NMI	16.053388879	2.62100475035	5	4	3	1	53.68	64.31	82.8	205.57	286.5	386.99	421.52	48.64	52.27	88.58	207.55	271.0	328.05	397.28	51.16	53.18	87.04	245.68	354.65	398.66	537.55
NMRK1	17.4697589906	-4.95711287882	1	2	3	0	16.26	20.88	18.17	17.91	19.97	23.86	34.25	17.16	16.84	14.01	12.65	13.69	18.82	26.27	34.31	30.96	29.74	21.31	30.35	37.74	54.28
NOD1	16.6941784046	1.93468679331	1	4	4	1	10.24	11.39	12.4	11.79	12.27	12.23	14.15	5.9	6.48	5.57	6.59	12.45	13.84	14.09	10.85	11.17	10.96	11.23	14.41	19.82	20.32
NOD2	12.6126201872	6.95210809109	3	4	2	5	6.02	4.01	6.14	16.28	14.1	11.42	11.52	4.59	2.87	4.23	8.49	14.36	16.13	13.91	4.73	4.01	6.5	19.26	17.97	18.63	16.66
NOTCH2	12.557109961	5.82370087299	4	4	4	5	58.89	66.71	50.47	75.37	83.45	64.84	80.03	44.93	50.55	36.56	45.33	69.18	95.08	114.32	61.61	69.73	57.34	85.11	105.92	119.03	132.88
NPIPA1	17.3437044612	-6.77538672798	1	2	3	0	1.02	0.0	0.0	0.0	0.0	0.5	5.13	3.34	2.92	4.55	0.0	0.0	2.72	5.93	4.44	1.1	9.88	2.08	1.3	4.92	7.38
NPIPA3	10.4233892437	-5.18778548339	3	4	1	3	0.0	0.0	0.0	0.92	0.0	0.0	0.0	1.3	0.0	0.0	0.0	3.35	0.41	0.99	0.34	2.53	1.35	0.0	0.35	0.32	1.3
NPIPB3	11.1181849155	-7.88012334129	2	4	1	3	3.71	2.86	0.7	0.62	1.85	1.95	1.53	1.09	2.88	2.18	0.0	0.51	6.13	4.63	7.78	9.35	6.71	6.09	6.82	6.51	3.23
NPR1	20.617139906	6.203470898	5	4	4	1	2.86	3.86	3.18	3.4	3.75	4.71	3.61	1.73	1.48	0.85	1.59	3.63	8.62	6.43	0.97	1.31	1.26	1.61	3.06	5.03	2.74
NR1D1	20.5081884869	4.77796676487	5	4	4	1	2.64	1.81	0.87	2.4	6.51	10.05	5.47	4.69	2.19	2.76	2.78	4.53	14.86	12.41	5.25	2.88	2.12	3.55	9.22	16.23	13.1
NR1D2	17.5051905198	-4.53616161563	1	2	3	0	24.57	30.3	22.67	21.59	23.38	29.25	40.58	27.04	28.94	31.37	22.78	25.52	45.4	57.6	38.13	35.77	31.04	28.57	29.75	50.54	70.38
NR1H3	18.8613037355	4.14808582078	5	4	4	1	40.2	41.21	40.31	47.67	63.44	84.15	84.34	38.37	43.1	32.72	48.93	92.81	119.53	114.02	21.34	24.59	22.47	36.18	48.59	55.2	56.12
NR2C2AP	17.1918038375	-4.29448735476	1	2	3	0	7.01	7.94	8.56	6.91	5.19	9.24	13.03	4.77	5.53	4.28	3.11	6.54	9.79	15.47	7.69	7.92	8.45	6.49	8.57	13.41	19.17
NR3C1	11.3451995277	5.81561518442	4	4	2	5	41.76	46.84	52.3	83.28	81.12	61.97	73.45	37.7	44.83	47.82	67.29	79.96	81.25	97.62	51.59	54.65	61.41	114.48	107.92	109.36	126.2
NR4A2	10.0400914913	-7.79222601145	2	0	1	3	0.35	5.95	3.73	1.79	0.85	0.93	1.39	0.67	9.18	3.37	1.47	0.71	0.52	1.34	0.35	6.36	4.86	2.25	1.76	1.14	1.14
NR4A3	9.08467428944	5.86517961102	3	5	2	5	14.67	21.82	36.0	93.06	87.75	62.07	53.48	60.28	63.69	96.22	208.73	188.05	144.29	144.34	16.24	25.71	29.25	80.74	53.87	38.0	30.75
NRBP1	14.0996414768	4.25837852329	4	4	3	1	74.93	95.63	95.54	124.07	118.47	118.94	129.65	82.18	87.04	89.29	111.41	156.17	174.7	167.07	91.73	95.45	100.2	123.81	129.6	133.66	153.57
NREP	16.1672140994	-6.08072819082	1	2	3	0	2.57	1.07	2.45	3.12	2.23	1.95	4.9	2.36	2.87	2.57	2.57	2.3	2.49	4.47	2.78	2.98	2.07	2.68	4.3	7.1	8.89
NRIP1	12.7484849677	3.31531874041	4	4	2	5	32.46	41.46	60.04	107.91	98.69	78.47	101.07	29.28	37.58	62.56	87.94	109.18	129.04	140.73	44.88	51.79	85.58	134.84	119.24	139.16	172.16
NRIP3	13.4393325086	10.1663536147	4	4	2	1	9.94	12.56	10.28	25.95	35.35	34.78	22.65	9.7	8.58	10.59	16.97	31.72	27.92	14.89	5.11	5.38	4.6	13.4	14.12	11.98	8.99
NRIR	18.7922698687	2.57890225275	5	4	3	1	0.0	0.69	0.59	0.4	0.83	2.29	2.52	0.24	0.0	0.0	0.18	0.89	1.03	1.12	0.0	0.0	0.0	0.3	0.2	0.87	0.86
NRROS	12.8884668498	7.55363194628	3	4	2	5	74.97	98.96	123.75	182.07	163.78	131.15	121.47	84.94	71.71	80.98	114.86	157.52	175.1	168.23	95.96	101.39	149.6	215.78	222.1	215.91	181.23
NRSN2-AS1	15.774341402	-2.43345432227	1	2	4	0	1.3	1.19	1.29	3.84	3.03	3.89	5.97	1.1	1.31	1.28	2.8	3.14	3.35	7.72	1.41	0.57	1.22	2.94	3.48	5.49	5.93
NSUN3	11.6157663938	5.75326277135	4	4	2	5	11.73	11.64	12.87	21.87	22.09	15.74	19.3	8.1	8.18	13.51	15.03	21.3	20.6	20.99	13.45	12.19	15.39	20.77	21.65	21.57	22.93
NSUN5	17.1371231093	-3.51569763324	1	2	3	0	6.47	6.38	5.94	6.94	6.96	11.71	14.75	6.92	5.92	4.36	6.1	7.5	13.36	22.5	6.5	4.97	4.61	4.9	6.21	11.38	16.37
NT5C2	12.3189884838	7.43885173347	4	4	2	5	47.42	53.07	53.71	104.76	112.62	80.1	78.95	51.68	54.83	71.22	97.25	137.24	125.95	118.16	47.35	55.21	66.69	127.13	128.67	109.64	102.68
NT5C3A	15.7020320545	2.47569439847	4	4	3	1	17.51	34.56	185.6	705.45	886.73	892.83	1332.95	20.16	34.25	198.09	744.37	987.31	1133.4	1298.71	11.39	17.26	79.95	322.1	392.52	516.78	669.98
NTNG2	11.4616726315	1.78499880821	0	4	2	4	0.1	0.12	1.92	1.21	1.95	1.78	1.72	0.03	0.21	1.15	1.39	1.57	2.2	2.92	0.0	0.15	0.3	0.68	0.49	0.83	0.87
NUB1	16.3490067534	6.08674847629	4	4	4	1	30.77	32.14	33.0	127.12	189.56	198.8	185.9	26.4	26.57	34.96	125.29	227.31	243.84	211.91	35.75	36.62	55.46	195.74	310.23	290.59	274.88
NUDCD1	12.2764782957	8.84741054146	4	5	2	5	6.81	8.15	10.67	28.31	33.42	23.1	19.69	6.14	7.64	10.92	28.01	31.19	24.21	19.57	6.7	7.72	9.82	29.48	33.24	27.72	19.91
NUDT15	14.1379767652	-6.03608600231	1	2	3	0	5.97	5.99	6.43	5.77	3.84	5.73	6.82	5.34	5.68	5.38	3.65	3.18	5.5	9.3	4.02	4.68	4.78	3.16	4.79	6.69	9.61
NUP153	11.0061675832	5.94498406666	3	4	2	5	23.85	23.51	24.53	44.44	38.09	29.33	32.96	18.84	18.04	21.74	29.8	32.58	36.66	38.96	30.34	27.76	33.21	47.27	41.13	40.91	46.58
NUP160	11.9206800874	6.5751237127	4	4	2	5	15.96	15.91	16.68	37.85	38.86	27.67	28.3	12.74	13.19	14.1	28.72	32.89	35.66	36.82	11.71	11.93	13.44	36.81	32.47	32.52	34.11
NUP205	15.6801057335	2.93360494901	4	4	3	1	16.45	18.31	16.09	24.52	30.85	27.82	35.13	13.23	13.15	13.75	15.74	27.21	37.51	44.38	17.24	19.3	16.6	26.73	38.38	41.13	53.72
NUP50-AS1	20.9197045721	4.59914263124	5	4	4	1	6.83	7.19	7.03	7.71	9.87	15.74	11.24	7.6	7.95	4.7	7.74	11.54	14.31	14.6	5.77	6.26	4.69	2.16	6.33	8.47	7.58
NUP62	14.7959893052	4.095849558	5	4	4	1	57.81	57.8	55.08	75.54	63.32	81.15	76.39	44.2	40.76	45.73	55.49	60.66	86.25	96.47	72.18	75.44	98.48	116.36	115.92	133.46	114.07
NUPR1	18.4426220434	-1.00626516475	5	4	3	1	79.93	67.23	86.36	104.14	291.51	1368.8	1489.56	132.23	114.96	141.53	250.31	680.61	1162.43	1372.4	172.69	146.04	237.26	319.28	1174.41	2352.64	3032.19
NXF1	15.2946992125	9.83855595061	4	4	4	1	22.07	28.64	32.14	46.99	52.3	46.54	26.18	17.61	29.7	32.71	30.67	40.57	56.31	35.82	24.83	34.95	36.26	43.2	52.93	71.23	41.44
NXT2	15.7136419013	2.16801062628	1	4	4	1	18.69	16.34	18.89	23.11	25.41	24.13	33.09	15.91	17.89	19.38	22.48	28.54	28.18	34.06	18.15	17.07	18.85	21.7	22.75	29.56	28.68
OARD1	17.4160002649	-6.33898018668	1	2	3	0	14.79	17.33	16.35	15.93	15.72	22.36	35.47	24.5	23.31	24.56	16.91	20.41	22.62	29.17	23.15	17.78	19.38	15.94	17.36	19.51	24.77
OAS1	17.639281571	3.87977755007	5	4	4	1	163.61	168.06	235.58	741.16	1116.98	1624.58	1603.92	125.53	143.27	218.76	694.39	1175.17	1392.48	1453.63	81.5	96.75	197.98	689.69	1090.12	1504.81	1598.88
OAS2	17.4284636257	4.11810023293	5	4	4	1	22.91	49.75	114.99	382.87	588.46	675.44	662.25	16.61	36.38	118.47	296.35	612.4	842.31	966.23	19.44	55.72	192.95	588.84	993.51	1444.1	1347.67
OAS3	19.2422767802	4.26676075759	5	4	4	1	8.3	16.32	31.73	111.71	189.53	297.39	248.91	12.94	20.65	46.86	114.66	336.49	616.53	607.27	15.17	29.04	95.2	339.22	738.12	1273.95	997.08
OASL	14.7935019972	5.49289978718	4	5	2	1	1.28	34.81	150.12	433.36	454.1	440.16	495.31	1.1	24.06	146.87	401.86	524.71	499.26	524.07	0.98	40.97	195.13	511.37	557.91	579.79	584.29
OCIAD2	16.213417839	-0.0965405603445	1	1	4	1	0.91	0.84	0.24	0.94	0.33	0.59	2.99	0.51	0.25	1.07	0.87	0.26	0.89	0.22	0.0	0.43	0.39	0.0	1.93	0.86	0.36
ODF3B	19.4740962758	3.80764056928	5	2	4	1	2.78	4.49	5.9	6.46	7.71	16.89	13.32	3.44	4.88	3.73	7.32	7.52	10.75	13.42	2.96	3.0	4.8	6.6	6.94	15.58	9.3
OGFR	14.7682814446	5.19750541849	4	4	4	1	42.79	47.91	54.8	106.42	99.93	104.01	99.37	40.29	36.61	55.78	86.5	110.6	156.14	164.83	37.42	40.88	62.08	102.45	115.32	140.03	94.5
OLR1	15.2442842257	-6.70547841018	0	1	3	0	19.41	24.7	32.26	24.99	11.98	9.38	25.65	21.94	27.53	47.07	25.03	12.55	11.53	26.37	95.64	115.99	134.75	96.07	64.54	100.43	291.06
OPTN	19.8409426182	5.77953146768	5	4	4	1	20.27	25.04	22.85	54.69	101.24	191.0	131.88	10.72	12.53	17.87	42.22	119.82	170.18	108.49	15.21	16.43	24.21	78.28	137.27	192.06	126.89
OR52K2	15.8883602537	-2.66009069473	1	2	3	0	0.0	0.19	0.15	1.39	1.31	1.24	3.39	0.0	0.0	0.0	0.38	0.85	0.71	1.53	0.0	0.3	0.18	0.23	0.6	1.23	2.0
ORAI2	19.1310228003	6.51498425692	5	4	4	1	3.27	4.81	4.36	5.5	6.69	7.32	5.79	3.77	3.61	3.85	4.47	7.84	9.53	8.23	4.22	4.97	4.82	8.35	10.24	12.24	7.49
OSBPL1A	18.0880630538	-2.42593891245	5	4	3	0	76.78	81.65	64.9	77.62	84.59	133.64	158.0	76.09	72.22	74.48	70.65	100.99	162.96	181.15	112.58	102.5	97.78	99.91	99.6	154.96	184.21
OSBPL5	18.9615502811	5.97245787987	4	4	4	1	2.11	2.12	1.65	6.98	11.92	11.44	9.37	2.56	2.17	1.64	4.79	11.18	16.46	15.9	3.39	2.36	2.09	6.72	17.71	26.66	16.73
OSCAR	17.5636509444	-3.69290637991	1	2	3	0	223.28	247.28	206.33	214.87	223.24	308.77	428.74	199.46	201.42	186.93	188.41	225.82	315.29	501.23	193.44	239.02	227.1	183.61	248.03	346.16	387.98
OSM	10.2903611208	-8.06809116474	2	0	1	3	1.77	27.99	5.92	1.49	2.09	1.85	1.93	2.32	22.51	1.93	0.16	1.75	1.82	0.91	2.53	30.43	6.14	1.15	0.67	1.55	1.03
OTOF	17.394484961	-3.38710028885	1	2	3	0	0.0	0.04	0.07	0.07	0.32	1.73	4.3	0.0	0.05	0.04	0.43	1.58	7.53	15.57	0.0	0.03	0.04	0.15	0.22	2.08	2.34
OTUD1	18.228921106	-4.73319037118	1	4	3	0	17.17	27.54	17.8	15.77	24.91	36.53	53.04	24.11	28.44	23.66	15.21	26.31	46.96	56.78	11.48	13.59	10.36	9.18	7.8	11.0	13.5
OTUD4	11.014675575	5.91600422587	3	5	2	5	28.96	29.63	34.61	77.06	63.35	49.43	58.7	27.45	29.95	36.64	54.35	58.14	58.35	60.71	36.7	36.27	41.69	94.26	79.14	76.89	84.22
OXSR1	12.3797815277	7.20883203983	4	4	2	5	16.64	21.0	19.34	35.69	38.37	28.0	30.33	17.21	18.02	22.37	31.01	41.98	38.61	37.54	17.73	19.52	21.9	40.42	35.55	37.24	32.97
P2RX4	19.4221960236	3.85675355278	5	4	4	1	73.57	84.53	84.66	92.75	115.82	157.85	164.08	76.47	85.34	91.32	95.03	142.16	212.27	192.85	76.16	83.74	92.81	107.12	140.0	167.08	152.59
P2RX7	13.1239986056	6.02370119807	4	4	2	5	38.54	43.34	48.49	128.43	132.36	107.8	111.75	39.06	42.16	51.97	104.8	150.03	159.8	172.32	74.54	77.08	106.55	277.93	296.21	281.24	345.85
P2RY12	16.2135188209	-3.93433251664	1	2	3	0	36.23	40.33	46.04	56.7	56.53	61.49	87.56	19.48	22.79	31.06	25.01	23.49	42.05	58.78	8.6	9.96	10.6	11.81	9.65	23.74	42.53
P2RY14	6.36450081873	2.2480539468	0	1	2	4	14.38	19.96	39.94	34.85	18.89	17.58	23.76	7.12	10.98	24.76	15.04	4.76	6.38	11.16	19.01	24.13	55.34	42.59	23.73	25.57	32.26
P2RY6	14.6175290448	7.15874436906	4	4	4	1	2.67	4.35	6.33	27.92	31.33	27.56	25.77	1.58	1.53	2.87	15.28	21.49	26.3	26.87	2.17	3.38	3.94	17.51	24.45	27.9	21.49
P3H2-AS1	11.0954028798	-7.77095149498	2	0	4	3	1.34	3.09	1.79	0.22	0.86	1.64	0.97	0.41	2.76	0.65	1.38	0.46	0.23	1.06	0.0	0.0	0.0	0.68	0.23	1.6	0.0
P4HA2	16.9735333133	-2.20596803025	5	4	3	0	2.54	2.43	3.6	4.03	3.23	5.21	6.21	3.82	4.21	4.65	4.13	5.29	5.85	6.0	1.77	1.75	1.58	2.24	1.98	2.58	4.19
PAFAH1B2	9.52234317519	5.78637753378	3	5	2	5	75.13	78.95	89.61	154.47	124.98	82.3	99.6	77.11	84.04	107.61	148.75	128.02	116.94	127.48	109.66	105.77	119.67	194.62	155.32	147.98	157.36
PANK2	15.2864050051	5.83672725459	4	5	4	1	40.22	46.91	43.77	68.46	82.22	75.24	79.92	31.8	32.9	42.36	63.11	69.85	69.62	65.6	23.02	27.25	30.61	44.11	49.16	50.9	51.3
PANX1	12.215938778	8.33233129034	4	5	2	5	3.78	6.32	12.49	44.69	52.93	32.14	32.99	4.95	7.95	17.63	41.6	57.94	40.04	40.19	6.05	8.44	15.8	52.26	54.78	43.23	34.77
PANX2	13.4397437665	-5.42001840698	1	2	4	0	1.89	2.44	2.27	1.13	0.88	1.67	2.49	0.85	1.13	1.2	0.8	1.29	1.56	4.01	1.43	2.16	2.17	1.85	2.0	2.84	2.4
PAPD4	11.6111253359	7.83235784188	4	4	2	5	66.06	71.23	63.03	121.62	126.33	101.84	110.28	70.39	68.93	75.74	113.96	147.06	141.65	115.82	70.39	68.21	70.85	130.91	122.71	105.21	109.46
PAPD5	10.7656134268	7.97932863808	3	5	2	5	8.81	8.63	7.57	23.72	23.29	16.7	14.68	10.32	8.71	8.75	19.88	23.99	20.89	19.78	10.43	9.36	7.78	23.0	20.79	19.14	16.8
PAPD7	13.5851305008	5.61274646592	4	4	2	5	7.9	7.24	16.55	35.18	40.0	27.78	38.28	7.31	5.49	10.5	25.05	34.73	36.75	40.35	10.05	8.73	18.69	48.52	50.62	51.98	47.76
PAQR8	19.5682152225	5.52692958734	5	4	4	1	15.97	15.11	9.52	26.59	41.11	48.84	42.59	17.89	16.95	10.84	24.39	44.34	76.18	65.32	15.58	15.38	8.24	22.12	43.06	75.89	46.92
PARP10	17.9429951236	3.92097727094	5	4	4	1	4.69	7.13	9.58	27.05	33.98	50.03	51.5	4.68	5.29	8.64	17.41	43.67	61.98	73.73	3.97	6.69	9.09	24.77	49.01	70.88	57.68
PARP11	13.4637918206	6.08058244846	4	4	2	5	11.17	12.56	14.17	33.14	34.41	28.58	29.53	11.17	10.2	15.0	25.27	34.62	40.47	38.56	13.31	12.38	17.43	40.11	41.75	44.02	47.11
PARP12	13.9667646853	4.64392370559	4	4	4	1	43.34	50.64	62.99	174.21	184.06	160.71	186.78	43.84	45.94	56.31	105.52	146.82	184.33	216.13	45.21	57.03	82.59	197.07	226.89	264.92	280.78
PARP14	14.4677500878	9.05886960164	4	4	4	1	45.18	53.28	81.17	346.65	452.78	325.88	214.87	33.96	40.22	62.54	253.71	458.71	420.97	279.5	57.31	63.82	118.04	597.56	855.4	828.49	430.19
PARP15	19.6057339991	4.33389596585	5	4	4	1	1.74	1.15	1.73	2.17	3.76	5.04	4.89	1.58	3.25	1.79	2.26	6.63	9.98	8.21	2.82	2.0	2.76	4.28	5.98	11.76	9.73
PARP4	12.3639772465	6.23957330423	3	4	4	5	93.62	101.92	89.64	135.42	135.42	105.01	120.0	90.12	93.56	93.93	101.61	145.67	163.99	179.94	102.9	115.44	116.98	171.71	202.88	214.41	215.15
PARP9	15.7308970265	2.16569800531	5	2	3	1	30.5	40.77	68.27	183.09	205.86	276.48	342.25	27.91	39.45	66.5	155.99	191.27	279.7	381.15	40.1	43.03	101.27	240.39	254.99	375.78	474.37
PATL1	14.6555524252	5.83474890779	4	4	2	1	70.86	74.04	82.88	132.44	143.43	135.56	121.04	69.47	78.74	90.92	108.07	124.79	123.69	125.89	111.36	126.58	149.3	219.44	225.52	231.04	214.78
PATZ1	17.6919933505	-5.04780069608	1	2	3	0	5.61	6.9	4.15	4.58	3.78	6.81	9.26	6.52	4.51	3.43	3.75	4.8	7.73	14.71	7.65	7.13	6.66	6.23	7.77	10.05	13.92
PAX8	18.7625311113	-1.99177719692	5	2	3	1	4.34	6.4	3.08	4.56	5.55	8.8	8.1	0.65	0.86	0.88	0.41	0.49	2.04	2.96	5.16	4.55	5.17	5.11	5.32	8.4	8.88
PAXIP1-AS2	15.856512431	-2.51649279372	4	2	3	0	8.88	6.91	7.86	12.21	15.1	15.1	17.62	9.61	10.3	9.34	11.26	12.96	16.48	20.49	10.41	11.79	12.6	19.91	15.25	21.71	37.28
PCAT7	10.1053162633	6.90682536585	4	4	2	5	0.35	0.61	0.39	0.95	1.27	0.0	0.59	0.11	0.28	0.76	0.34	0.96	6.26	5.78	0.68	0.16	0.39	0.67	0.57	0.29	0.43
PCGF5	16.4971720374	6.13155406472	5	4	4	1	40.52	42.71	59.44	122.77	176.87	196.21	158.52	44.34	37.81	62.09	129.29	162.9	157.2	144.16	50.66	58.44	79.44	151.46	208.55	236.03	211.96
PCMT1	13.5995134653	10.1250287872	4	4	4	1	68.73	75.27	78.73	102.14	149.95	117.36	111.06	70.04	76.12	79.19	108.19	145.46	119.6	102.22	62.1	64.85	55.83	76.84	111.54	107.18	96.89
PCNX	9.46898525121	5.49742732417	3	5	2	5	7.88	8.32	11.41	22.57	20.42	11.92	12.95	6.25	7.45	11.19	16.21	15.23	12.51	13.92	11.84	14.15	20.93	32.63	26.72	21.63	24.59
PDCD1	14.6756383927	9.40507115714	4	4	4	1	0.0	0.09	0.08	0.85	1.51	1.06	0.45	0.0	0.06	0.17	1.76	2.73	4.2	1.52	0.0	0.15	0.0	2.58	2.83	3.42	0.83
PDCD1LG2	14.1246231452	0.0336162313932	1	4	2	0	17.57	22.59	23.76	28.73	33.04	31.79	48.96	29.38	32.84	37.54	42.7	51.04	69.83	74.41	15.9	16.47	18.93	22.9	22.69	20.83	26.82
