gene	tSNE_x	tSNE_y	D02_MDDC_Ifnb.resp.tsv	D03_MDDC_Ifnb.resp.tsv	D11_MDDC_Ifnb.resp.tsv	Interagrated	D02_MDDC_Ctrl_0h	D02_MDDC_Ifnb_1h	D02_MDDC_Ifnb_2h	D02_MDDC_Ifnb_4h	D02_MDDC_Ifnb_6h	D02_MDDC_Ifnb_12h	D02_MDDC_Ifnb_24h	D03_MDDC_Ctrl_0h	D03_MDDC_Ifnb_1h	D03_MDDC_Ifnb_2h	D03_MDDC_Ifnb_4h	D03_MDDC_Ifnb_6h	D03_MDDC_Ifnb_12h	D03_MDDC_Ifnb_24h	D11_MDDC_Ctrl_0h	D11_MDDC_Ifnb_1h	D11_MDDC_Ifnb_2h	D11_MDDC_Ifnb_4h	D11_MDDC_Ifnb_6h	D11_MDDC_Ifnb_12h	D11_MDDC_Ifnb_24h
B2M	-14.684029603	-10.7010981077	1	2	3	0	9990.7	9942.39	10426.02	9172.93	9770.32	17483.98	24596.67	14114.12	13956.2	15979.39	14663.81	15072.56	17044.66	19471.17	6099.52	5163.31	5325.27	5385.4	5833.46	8044.93	12618.58
B3GALT4	-17.3719804277	-5.98393583642	1	3	4	6	6.61	9.55	7.67	6.0	7.28	12.97	15.98	5.87	5.71	3.51	5.94	10.38	12.69	18.36	4.52	5.19	3.33	5.09	6.62	9.39	9.81
B3GNT2	-7.24387063298	4.79041300348	4	5	2	6	24.29	29.19	50.17	77.38	78.01	67.34	89.21	46.19	47.44	93.75	146.5	152.13	129.28	154.34	24.98	27.19	42.2	71.17	54.45	59.19	81.45
B3GNT5	3.92758382888	-5.15335767064	2	1	1	3	22.15	55.47	58.55	22.47	22.53	12.92	22.35	26.87	49.56	68.7	22.46	23.69	15.06	18.36	24.49	46.88	47.78	16.95	11.64	14.01	23.03
B3GNT7	-10.6503764328	9.72608017448	3	3	2	6	6.61	4.97	7.48	12.68	8.56	9.59	10.27	8.54	8.41	9.41	12.68	14.42	17.5	21.48	14.67	15.51	19.84	29.3	25.08	31.24	30.2
B4GALT2	-11.701342067	-12.5201004576	1	2	3	0	3.2	3.45	3.22	2.68	3.01	4.93	7.53	5.87	5.44	5.17	4.69	3.55	5.78	11.67	3.85	2.32	2.18	3.31	2.53	3.75	5.69
B4GALT5	-8.05999606222	6.52012429089	4	5	2	5	40.48	50.1	92.76	241.78	214.97	139.72	141.45	53.7	64.85	118.9	236.15	266.91	179.24	188.7	71.24	90.55	174.84	477.46	364.58	340.49	374.79
BACH1	-0.074055739089	3.04512350014	0	1	3	4	49.98	88.33	105.11	87.09	86.0	57.3	88.69	47.5	85.24	132.2	58.67	71.11	72.4	96.16	50.42	87.62	109.46	89.95	80.44	92.45	135.0
BACH1-IT2	5.23214896129	-6.09148828407	0	0	2	3	0.2	1.19	2.66	1.65	0.85	0.17	0.17	0.89	0.99	0.45	0.19	0.0	0.54	0.19	1.28	0.0	0.99	1.56	0.2	0.9	0.36
BAG1	-15.1794963264	0.133780807451	5	3	4	6	34.06	41.62	45.41	58.12	79.97	106.39	93.08	36.5	37.07	47.89	60.04	94.49	98.72	83.0	27.75	33.19	43.32	51.97	73.4	87.42	67.71
